platform,store_name,review_text,review_date,classification_result,translated_review
네이버,신림고시촌점,존맛,2024-06-15,1,Absolutely delicious!
네이버,신림고시촌점,맛있다. 많은 사람들이 즐겨 찾는다.,2024-07-13,1,Delicious. It's a popular spot that many people frequent.
네이버,신림고시촌점,한 번 들러본곳,2024-07-19,-1,A place I stopped by once
네이버,신림고시촌점,일반적인 탕수육 맛이며 세일시간대가서 5천원 할인받음 기름이 깨끗햇는지 기름잡내가 안낫다 추천한다,2024-06-28,1,"The sweet and sour pork has a typical taste, but I got a 5,000 won discount by going during the sale hours. The oil seemed clean because there wasn't any unpleasant oily smell. I recommend it."
네이버,신림고시촌점,간이 조금 짜ㅡ,2024-07-23,-1,The seasoning was a bit salty.
네이버,신림고시촌점,짬뽕은 살짝 짰어요 그래도 나름 먹을만함,2024-07-01,-1,"The jjampong was a bit salty, but still quite enjoyable."
kakao_map,신림고시촌점,이 폭염에 에어컨을 두대를 풀로 틀어도 모자랄 판에 한대만 틀어놨네요 찜통에서 식사 하고 나왔어요,2024-08-06,-1,"In this scorching heat, even having two air conditioners on full blast wouldn't be enough, but they had only one running. I felt like I was dining in a sauna."
kakao_map,신림고시촌점,청소좀 하세요 드러운새기들아,2024-06-15,-1,"Please clean up, you dirty people."
kakao_map,신림고시촌점,움 낙성대점이 더 좋은거 같아요,2024-06-13,-1,I think the Eum Nakseongdae location is better.
kakao_map,신림고시촌점,짬뽕 하나를 배달에서 빼시는 초보적인 실수를… 사과도 제대로 안 하시는걸 보니 최근의 본사 차원의 교육이 무색한 듯 합니다.,2024-06-13,-1,"A basic mistake of leaving out a jjambbong in a delivery order... And it seems the recent training from headquarters has been in vain, given the lack of a proper apology."
kakao_map,신림고시촌점,하도 욕을 먹길래 직접 가봄. 멀쩡한데...?,2024-07-17,1,"I heard so many bad things about this place, so I decided to check it out myself. It’s perfectly fine...!"
