platform,store_name,review_text,review_date,classification_result,translated_review
네이버,신촌2호점,저렴해요,2024-06-07,1,It's affordable.
네이버,신촌2호점,가성비 굿,2024-06-16,1,Great value for money.
네이버,신촌2호점,평범합니다. 한 끼 먹기 좋아요,2024-06-17,-1,It's average. Good for a meal.
네이버,신촌2호점,진짜 맛없음 홍콩반점 체인중 최악,2024-07-23,-1,The food was truly terrible. This is the worst branch of the Hong Kong Banjeom chain.
네이버,신촌2호점,"1인 탕짬면 10,500원 가성비 좋아요:) 짬뽕과 탕수육을 한 그릇으로 먹을 수 있다는 점이 좋아요  탕수육이 다섯점 정도라서 크게 부담없이 먹을 수 있었어요:) 간장, 식초, 숟가락, 젓가락은 테이블 서랍 윗칸에 들어있고 냅킨과 홍합 껍질 담을 통은 테이블 서랍 아랫칸에 들어있어요 이외 춘장, 단무지, 양파는 셀프바에서 가져오면 되고 물은 퇴식구 옆에 있어요 메뉴 주문은 들어가자마자 카드결제 전용 키오스크가 있어서 주문하시면 되고 메뉴가 준비되면 주문번호를 듣고 가지고오면 돼요 원래 이렇게까지 셀프방식은 아니었던 것 같은데 오랜만에 와보니 많은게 바꼈네요 혼밥하기엔 좋았고 에어컨이 조금 더 시원하면 좋겠어요 :)",2024-07-23,1,"The single serving of Tang Jjam-myeon costs 10,500 won and offers great value for money :) I like that you can enjoy both Jjamppong and Tangsooyuk in one bowl. With about five pieces of Tangsooyuk, it was manageable to eat without feeling overwhelmed :) Soy sauce, vinegar, spoons, and chopsticks are in the top drawer of the table, while napkins and a container for mussel shells are in the bottom drawer. For black bean sauce, pickled radish, and onions, you can help yourself at the self-serve bar, and water is located next to the tray return area. You order your menu items through a card-only kiosk right when you walk in, and once your order is ready, you listen for your number to be called and pick it up. It didn’t use to be this self-service, but many things have changed since I last visited. It’s a good place to eat alone, although the air conditioning could be a bit cooler. :)"
네이버,신촌2호점,밥,2024-07-29,-1,Rice
네이버,신촌2호점,유튜브보고 두툼한 계란이 먹고싶어 갔는데 홍보용 계란두께하고 많이 다른 모습에 실망했네요 다음부턴 계란 더 두껍게 해주세요,2024-06-26,-1,"I went to the restaurant after seeing it on YouTube because I wanted to try the thick omelet, but I was disappointed because the actual thickness was quite different from what was advertised. Please make the omelet thicker next time."
네이버,신촌2호점,"짬뽕이 좀 느끼했어요. 수저통에 먼지가 많았는데 그상태로 수저가 있었고, 컵에는 물때가 있었어요. 다시 가고싶지는 않네요.",2024-08-09,-1,"The jjambbong was a bit too greasy for my taste. There was a lot of dust on the utensil holder, and the utensils were just left in that condition. The cups also had water stains. I don't think I'll be going back again."
네이버,신촌2호점,"리뷰는 잘 안 쓰지만... 여기 사장님 좀 이상 합니다 짜장면을 시키고 음식이 나와서 먹으려고 했더니, 짜장면 그릇에 하얀색 가루가 있더라고요. 뭔지 물어보려고 그릇을 들고 갔더니... 안에 음식을 하던 사장님이 나와서 화를 내면서 이건 분말가루인데...그냥 먹어도 되는 거라는 말을 화를 내면서 말을 하더라고요 그럼 분말 가루가 묻은 손으로 그릇을 잡는 건 위생적인 건가 ㅋㅋㅋ 참 말이라는 게... 아 다르고 어 다른 건데... 음식 맛을 떠나서 소비자를 뭐라고 생각을 하면 이렇게 행동하시는지...다신 안 갈듯합니다 인성 고치세요 음식도 그렇게 맛있는 것도 아니고 ㅋㅋ 인성도 별로고..... 두 번은 안 갈듯합니다",2024-06-09,-1,"I don't usually write reviews, but... The owner here is a bit strange. I ordered jjajangmyeon, and when the food came out, I was about to eat when I noticed white powder on the bowl. I took the bowl to ask what it was, and the owner, who was preparing food, came out and angrily said it was powdered seasoning and that it was safe to eat. But is it hygienic to touch the bowl with hands covered in powder? Honestly, the way things are said matters a lot... It's beyond just the taste of the food; the owner’s behavior towards customers is questionable. I don't think I'll be coming back here again. The owner's attitude needs improvement. The food wasn't even that good. I won't be coming back a second time."
네이버,신촌2호점,맛있어요,2024-08-02,1,It's delicious.
네이버,신촌2호점,"음식은 맛있는데 남자사장님이 영 별로네요. 블로그 리뷰하러 사진 좀 찍었다고 무슨 죄인 취조하듯이 블로그 이름이 뭐냐고 다른 사람도 다 있는 홀에서 망신주고, 사진을 지우라고 윽박지르지 않나. 사람 얼굴이 들어가면 안 된다고 다그치는데(애초에 사람 얼굴은 들어가지도 않거니와 어쩌다 얼굴이 찍혀도 모자이크 처리하는데) 기분이 참 더럽더라고요. 좋은 마음으로 리뷰를 해주려다 기분이 잡쳐버렸네요. 그냥 정중하게 업장 방침상 사진촬영이 어렵다고 얘기했으면 웃으며 넘어갈 텐데 너무 기분이 안 좋아. 평소 안 쓰던 영수증 리뷰 남깁니다. 요즘 백종원 대표가 홍콩반점 점검하던데 이 집은 맛보다 서비스부터 개선해야겠네요.",2024-06-04,-1,"The food is tasty, but the male owner is really unpleasant. When I tried to take some photos for my blog review, he interrogated me like I was a criminal, asking for my blog name and embarrassing me in front of everyone in the dining area. He even yelled at me to delete the photos. He insisted that no faces should be in the photos (though I wasn’t planning on including anyone’s face, and if they happened to be, I would have blurred them out). The whole experience left me feeling really awful. I wanted to write a positive review, but my mood was completely ruined. If he had just politely informed me that their policy doesn’t allow photo-taking, I would have let it go with a smile. This whole ordeal upset me so much that I’m writing a receipt review, something I usually don’t do. I heard Mr. Baek Jong-won has been inspecting Hong Kong Banjum locations lately; this place needs to improve its service before anything else."
네이버,신촌2호점,짜장 양념이 딱 알맞습니다 살짝 부족할 수 있어요 탕수육 맛있어요,2024-06-24,1,"The sauce for the jjajangmyeon is just right, although it could be a bit on the lighter side for some. The tangsuyuk is delicious."
네이버,신촌2호점,탕수육은 저렴하고 양도 많아 추천합니다. 짬뽕은 텁텁하고 짜고 그렇네요,2024-07-20,-1,"The sweet and sour pork is affordable and comes in large portions, so I recommend it. However, the spicy seafood noodle soup is quite heavy and salty."
네이버,신촌2호점,내꺼내먹때문에 온 곳인데 여기는 맛있네요!,2024-08-03,1,"I came here because of NAEKKO NAE MEOK, and it's delicious!"
kakao_map,신촌2호점,짜장에서 탄맛나요,2024-06-12,-1,The black bean sauce has a burnt taste.
kakao_map,신촌2호점,홍콩반점중 최악인곳.,2024-06-12,-1,The worst Hong Kong Banjeom location.
kakao_map,신촌2호점,아쉬워요,2024-06-12,-1,It's disappointing.
kakao_map,신촌2호점,그냥 나쁘지 않음,2024-06-12,-1,It's just not bad.
kakao_map,신촌2호점,,2024-08-01,-1,"Sure, I can help! Please provide the Korean restaurant review you would like translated into English."
